"cohort_month","cohort_size","total_cohort_revenue","avg_clv_per_customer","months_active","clv_per_customer_active"
"2009-12-01 00:00:00",952,8230017.07,8644.98,24,360.21
"2010-01-01 00:00:00",382,1280438.21,3351.93,23,145.74
"2010-02-01 00:00:00",377,964630.20,2558.70,22,116.30
"2010-03-01 00:00:00",439,1195832.48,2723.99,21,129.71
"2010-04-01 00:00:00",293,529349.09,1806.65,20,90.33
"2010-05-01 00:00:00",254,378946.68,1491.92,19,78.52
"2010-06-01 00:00:00",267,583235.55,2184.40,18,121.36
"2010-07-01 00:00:00",185,290752.12,1571.63,17,92.45
"2010-08-01 00:00:00",162,234336.56,1446.52,16,90.41
"2010-09-01 00:00:00",239,579372.64,2424.15,15,161.61
"2010-10-01 00:00:00",375,503023.41,1341.40,14,95.81
"2010-11-01 00:00:00",326,342640.64,1051.04,13,80.85
"2010-12-01 00:00:00",76,61290.89,806.46,12,67.21
"2011-01-01 00:00:00",72,136065.93,1889.80,11,171.80
"2011-02-01 00:00:00",125,136096.20,1088.77,10,108.88
"2011-03-01 00:00:00",179,208688.15,1165.86,9,129.54
"2011-04-01 00:00:00",106,100622.65,949.27,8,118.66
"2011-05-01 00:00:00",111,108150.50,974.33,7,139.19
"2011-06-01 00:00:00",108,132159.16,1223.70,6,203.95
"2011-07-01 00:00:00",101,87581.85,867.15,5,173.43
"2011-08-01 00:00:00",106,122894.94,1159.39,4,289.85
"2011-09-01 00:00:00",188,143334.77,762.42,3,254.14
"2011-10-01 00:00:00",221,131040.09,592.94,2,296.47
"2011-11-01 00:00:00",192,79903.35,416.16,1,416.16
