"cohort_month","cohort_size","m0","m1","m2","m3","m4","m5","m6"
"2009-12-01 00:00:00",952,100.0,35.3,33.3,42.5,38.0,35.9,37.8
"2010-01-01 00:00:00",382,100.0,20.7,31.2,30.6,26.4,30.1,25.9
"2010-02-01 00:00:00",377,100.0,23.3,22.5,29.2,24.4,19.6,19.1
"2010-03-01 00:00:00",439,100.0,19.1,23.2,24.1,23.5,20.5,24.8
"2010-04-01 00:00:00",293,100.0,19.1,19.1,16.0,18.4,22.2,27.6
"2010-05-01 00:00:00",254,100.0,15.7,16.9,17.3,17.7,25.6,21.3
"2010-06-01 00:00:00",267,100.0,17.6,18.7,20.6,23.2,28.5,12.7
"2010-07-01 00:00:00",185,100.0,15.7,18.4,29.7,29.2,14.1,11.4
"2010-08-01 00:00:00",162,100.0,19.8,29.0,32.7,16.7,11.7,9.9
"2010-09-01 00:00:00",239,100.0,23.0,23.4,13.0,8.8,10.5,13.8
"2010-10-01 00:00:00",375,100.0,25.9,14.7,12.5,8.8,8.3,13.1
"2010-11-01 00:00:00",326,100.0,17.5,9.5,9.5,7.7,8.9,12.9
"2010-12-01 00:00:00",76,100.0,9.2,5.3,9.2,11.8,6.6,5.3
"2011-01-01 00:00:00",72,100.0,16.7,22.2,19.4,22.2,15.3,15.3
"2011-02-01 00:00:00",125,100.0,16.0,16.0,18.4,21.6,16.0,16.0
"2011-03-01 00:00:00",179,100.0,17.9,21.8,20.1,22.3,15.1,20.7
"2011-04-01 00:00:00",106,100.0,24.5,19.8,19.8,17.9,23.6,17.9
"2011-05-01 00:00:00",111,100.0,23.4,24.3,16.2,21.6,20.7,26.1
"2011-06-01 00:00:00",108,100.0,23.1,21.3,26.9,20.4,27.8,NULL
"2011-07-01 00:00:00",101,100.0,20.8,29.7,27.7,34.7,NULL,NULL
"2011-08-01 00:00:00",106,100.0,26.4,30.2,26.4,NULL,NULL,NULL
"2011-09-01 00:00:00",188,100.0,27.1,37.8,NULL,NULL,NULL,NULL
"2011-10-01 00:00:00",221,100.0,31.7,NULL,NULL,NULL,NULL,NULL
"2011-11-01 00:00:00",192,100.0,NULL,NULL,NULL,NULL,NULL,NULL
